t,pressure
0,74690.22231414828
0.1,74689.88283825282
0.2,74681.36609622298
0.30000000000000004,74661.5427852365
0.4,74630.78046266634
0.5,74588.7151063811
0.6000000000000001,74535.0137722131
0.7000000000000001,74469.49107198104
0.8,74392.00274143895
0.9,74302.40651113856
1.0,74200.5568040925
1.1,74086.32633345912
1.2000000000000002,73959.69467028313
1.3,73820.70729103606
1.4000000000000001,73669.51067778394
1.5,73506.36835944664
1.6,73331.54245269786
1.7000000000000002,73145.08588425512
1.8,72946.75381452568
1.9000000000000001,72736.5592081935
2.0,72515.37002938888
2.1,72283.9996921717
2.2,72041.91041218783
2.3000000000000003,71788.77662227997
2.4000000000000004,71526.27777769952
2.5,71254.98669005137
2.6,70973.756509157
2.7,70684.39257294362
2.8000000000000003,70387.99892649453
2.9000000000000004,70083.17155915251
3.0,69772.35236273259
3.1,69455.790103737
3.2,69134.88890378259
3.3000000000000003,68814.66798952853
3.4000000000000004,68495.1525983469
3.5,68179.54121084533
3.6,67867.81999674227
3.7,67559.51655309874
3.8000000000000003,67257.06772893653
3.9000000000000004,66958.39440040075
4.0,66665.72212427191
4.1000000000000005,66378.35798713432
4.2,66095.00451877706
4.3,65817.5480229847
4.4,65543.6666330084
4.5,65273.990001169754
4.6000000000000005,65009.24765063344
4.7,64747.21364275232
4.800000000000001,64489.44421606152
4.9,64235.670158014334
5.0,63984.2049456823
5.1000000000000005,63736.830606423355
5.2,63492.80119727964
5.300000000000001,63250.83621733827
5.4,63012.72588011833
5.5,62777.675547215695
5.6000000000000005,62544.51611799804
5.7,62314.94651028654
5.800000000000001,62088.376896395755
5.9,61863.497367408265
6.0,61641.83181332746
6.1000000000000005,61423.25912005604
6.2,61206.24138498364
6.300000000000001,60991.913994342016
6.4,60780.82112721626
6.5,60571.35294150889
6.6000000000000005,60363.921443227715
6.7,60159.71650281743
6.800000000000001,59957.51017009132
6.9,59756.7426160412
7.0,59558.8180062791
7.1000000000000005,59363.473339560034
7.2,59169.39597606903
7.300000000000001,58977.371295465055
7.4,58788.266763066385
7.5,58600.9024205462
7.6000000000000005,58414.81439072422
7.7,58231.246979746975
7.800000000000001,58050.1887075322
7.9,57870.37664553979
8.0,57692.10444771693
8.1,57516.4703440061
8.200000000000001,57342.89824697455
8.3,57170.38174538166
8.4,56999.595161011115
8.5,56831.370768513865
8.6,56664.91273493053
8.700000000000001,56499.438879211484
8.8,56335.723797722516
8.9,56174.44762854217
9.0,56014.80525319942
9.1,55856.08836276047
9.200000000000001,55699.01134396576
9.3,55544.259575995166
9.4,55391.158015053836
9.5,55238.9369176666
9.600000000000001,55088.116108461
9.700000000000001,54939.48258995615
9.8,54792.635256827394
9.9,54646.703269484744
10.0,54501.85511588816
10.100000000000001,54358.942448894515
10.200000000000001,54217.994492852995
10.3,54078.168482583795
10.4,53939.15416262386
10.5,53801.63907303121
10.600000000000001,53666.134327013264
10.700000000000001,53532.138045448475
10.8,53398.93947113231
10.9,53266.711903644486
11.0,53136.193255136444
11.100000000000001,53007.5238309037
11.200000000000001,52880.036005923714
11.3,52753.250540384855
11.4,52627.55064687216
11.5,52503.58057547607
11.600000000000001,52381.30190603974
11.700000000000001,52260.05402584171
11.8,52139.474031443875
11.9,52019.965542987164
12.0,51902.11138082042
12.100000000000001,51785.876713604106
12.200000000000001,51670.662086580465
12.3,51556.08520623752
12.4,51442.44722083785
12.5,51330.315336544714
12.600000000000001,51219.79578243705
12.700000000000001,51110.40794653988
12.8,51001.67409710238
12.9,50893.676396172785
13.0,50786.928299010564
13.100000000000001,50681.75296598508
13.200000000000001,50577.91067060543
13.3,50474.87913695063
13.4,50372.43343667077
13.5,50270.87103305123
13.600000000000001,50170.66195051457
13.700000000000001,50071.93368487862
13.8,49974.34179340086
13.9,49877.43464572128
14.0,49781.10839544887
14.100000000000001,49685.68958611615
14.200000000000001,49591.58836792693
14.3,49498.88876223034
14.4,49407.27343312141
14.5,49316.331664782076
