t,ax,ay,az
16.3,-8.8,4.0,-8.8
16.400000000000002,-8.8,4.0,-8.0
16.5,-8.8,4.0,-8.0
16.6,-8.8,4.0,-8.0
16.7,-8.8,3.2,-8.0
16.8,-8.8,4.0,-8.0
16.900000000000002,-8.8,3.2,-8.8
17.0,-8.0,4.0,-8.8
17.1,-8.0,4.0,-8.8
17.2,-8.0,4.0,-8.0
17.3,-8.8,4.0,-8.0
17.400000000000002,-8.8,4.0,-8.0
17.5,-8.8,3.2,-8.0
17.6,-8.8,3.2,-8.8
17.7,-8.0,3.2,-8.8
17.8,-8.0,4.0,-8.8
17.900000000000002,-8.0,4.0,-8.0
18.0,-8.0,4.0,-8.0
18.1,-8.0,4.0,-8.0
18.2,-8.0,4.0,-8.0
18.3,-8.0,4.0,-8.0
18.400000000000002,-8.0,4.0,-8.0
18.5,-8.0,3.2,-8.0
18.6,-8.0,4.0,-8.0
18.7,-8.0,4.0,-8.0
18.8,-8.0,4.0,-8.0
18.900000000000002,-8.0,4.0,-8.0
19.0,-8.0,4.0,-8.0
19.1,-8.0,4.0,-8.0
19.200000000000003,-8.0,4.0,-8.0
19.3,-8.0,4.0,-8.0
19.400000000000002,-8.0,4.0,-8.0
19.5,-8.0,4.0,-8.0
19.6,-7.2,4.0,-8.0
19.700000000000003,-7.2,4.0,-8.0
19.8,-7.2,4.0,-8.0
19.900000000000002,-7.2,4.0,-8.0
20.0,-7.2,4.0,-8.0
20.1,-7.2,4.0,-8.0
20.200000000000003,-8.0,4.0,-8.0
20.3,-8.0,4.0,-8.0
20.400000000000002,-7.2,3.2,-8.0
20.5,-7.2,3.2,-8.0
20.6,-7.2,4.0,-8.0
20.700000000000003,-7.2,4.0,-8.0
20.8,-7.2,4.0,-8.0
20.900000000000002,-7.2,4.0,-8.0
21.0,-7.2,4.0,-8.0
21.1,-7.2,4.0,-8.0
21.200000000000003,-7.2,4.0,-8.0
21.3,-7.2,4.0,-8.0
21.400000000000002,-7.2,4.0,-8.0
